,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,keep,lab_count,maj_count,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
0,823.0,A270HX8LH9LJ8W,Uncertain-Flip,2269.0,The Malla period saw advancements in either the arts or sciences.,1.0,1.0,2.0,content-words,neutral,1.0,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",entailment,True
0,823.0,A270HX8LH9LJ8W,Uncertain-Same,2279.0,The Malla period saw no advancements in either the economy or sciences.,1.0,1.0,2.0,content-words,contradiction,1.0,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",neutral,True
188,1383.0,A1W7I6FN183I8F,Uncertain-Same,2656.0,Private courses aren't popular so it's easy to sign up for one.,0.0,2.0,3.0,content-words,contradiction,1.0,479.0,"Public courses are very popular, so book in advance.",neutral,True
188,1383.0,A1W7I6FN183I8F,Uncertain-Flip,2660.0,"Public courses are very popular, so it's easy to sign up for one.",0.0,2.0,3.0,content-words,neutral,1.0,479.0,"Public courses are very popular, so book in advance.",contradiction,True
30,530.0,A2615YW1YERQBO,Uncertain-Flip,6402.0,The national and state parks sometimes offer information about activities in their respective park areas.,1.0,1.0,2.0,content-words,entailment,0.99,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,neutral,True
137,9912.0,A2615YW1YERQBO,Uncertain-Same,3490.0,Nearly one in three children in California live in poverty.,1.0,1.0,2.0,gradient,entailment,0.99,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",contradiction,True
179,163.0,A2615YW1YERQBO,Uncertain-Same,7471.0,They had swords across their backs and arrows in their bags.,0.0,1.0,3.0,content-words,neutral,1.0,1435.0,Curved swords hung on their hip and bows sat across their backs.,contradiction,True
46,471.0,A270HX8LH9LJ8W,Uncertain-Same,11465.0,The incumbent has experienced a high level of success and needs examination.,1.0,1.0,2.0,content-words,contradiction,0.98,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",neutral,True
46,471.0,A270HX8LH9LJ8W,Certain-Same,11466.0,The incumbent has experienced a large increase in accesses and needs examination.,1.0,1.0,2.0,content-words,contradiction,0.98,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",neutral,True
22,1980.0,A1W7I6FN183I8F,Certain-Flip,11639.0,That one was actually one I got from you as well.,1.0,1.0,2.0,content-words,entailment,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,neutral,True
22,1980.0,A1W7I6FN183I8F,Uncertain-Same,11641.0,That sounds like one of my ideas as well.,1.0,1.0,2.0,content-words,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,contradiction,True
233,57.0,A2615YW1YERQBO,Uncertain-Flip,1321.0,La carta is the best way to ask for a physical menu to look at.,0.0,1.0,3.0,data-slices,entailment,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",neutral,True
185,148.0,A2615YW1YERQBO,Uncertain-Flip,12241.0,The Rebs were given a lesson because they played.,0.0,2.0,3.0,content-words,entailment,1.0,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",neutral,True
284,1222.0,A1W7I6FN183I8F,Uncertain-Same,7879.0,Control over the payment process should be based on the management needs of the agency.,0.0,2.0,3.0,gradient,entailment,0.98,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,neutral,True
284,1222.0,A1W7I6FN183I8F,Uncertain-Same,7880.0,Control over the payment process should be based solely on the needs of the agency.,0.0,1.0,3.0,gradient,entailment,0.98,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,neutral,True
284,1222.0,A1W7I6FN183I8F,Uncertain-Flip,7881.0,Control over the payment process should be based on the financial needs of the agency.,0.0,2.0,3.0,gradient,contradiction,0.98,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,neutral,True
215,769.0,A1W7I6FN183I8F,Uncertain-Same,14763.0,"There were, at one point, many money-lenders in the temple.",0.0,1.0,3.0,content-words,entailment,0.98,2814.0,"He chased the money-lenders out of the Temple, didn't he?",neutral,True
156,24.0,A2615YW1YERQBO,Uncertain-Flip,8677.0,"The election is next week, so we won't have to hear them much.",1.0,1.0,2.0,gradient,contradiction,0.97,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,neutral,True
156,24.0,A2615YW1YERQBO,Uncertain-Flip,8678.0,"The election is next week, so we won't have to hear them.",1.0,1.0,2.0,gradient,contradiction,0.97,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,neutral,True
206,37.0,A2615YW1YERQBO,Uncertain-Flip,16084.0,"They confirmed you authorized your signature, and so she felt it was real.",0.0,2.0,3.0,content-words,neutral,0.99,3096.0,"They signed your name, and she fell into the trap like a lamb.""",contradiction,True
162,939.0,A1W7I6FN183I8F,Uncertain-Flip,9175.0,He will end up doing it so you only have to ask him once.,1.0,1.0,2.0,gradient,neutral,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,True
221,119.0,A1W7I6FN183I8F,Uncertain-Same,17494.0,Litigation is costly and results in air quality being determined by the courts.,0.0,1.0,3.0,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",neutral,True
11,10093.0,A2615YW1YERQBO,Certain-Flip,17798.0,I don't know what to do about the.,1.0,1.0,2.0,content-words,entailment,1.0,3413.0,so i don't know i i i have no idea what to do about it,neutral,True
144,27.0,A2615YW1YERQBO,Uncertain-Flip,9910.0,I know he is going to do his best to get back in shape.,1.0,1.0,2.0,gradient,contradiction,0.98,3447.0,so i don't know if he's going to be in shape to,neutral,True
150,737.0,A1W7I6FN183I8F,Uncertain-Same,10578.0,I don't think I will be as smart as him.,1.0,1.0,2.0,gradient,entailment,0.98,3715.0,'Because I think he's smarter than me.',neutral,True
209,1014.0,A1W7I6FN183I8F,Uncertain-Same,21067.0,You can have a pet but only if you have small children.,0.0,2.0,3.0,content-words,entailment,0.99,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,contradiction,True
209,1014.0,A1W7I6FN183I8F,Uncertain-Same,21069.0,You can have a pet if you have.,0.0,2.0,3.0,content-words,entailment,0.99,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,neutral,True
209,1014.0,A1W7I6FN183I8F,Uncertain-Flip,21075.0,You can have a pet if you don't have children.,0.0,2.0,3.0,content-words,contradiction,0.99,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,entailment,True
209,1014.0,A1W7I6FN183I8F,Certain-Same,21077.0,You can have a pet if you have small.,0.0,2.0,3.0,content-words,entailment,0.99,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,neutral,True
56,345.0,A270HX8LH9LJ8W,Uncertain-Same,22132.0,The entrance is at the end of David Street and up an.,1.0,1.0,2.0,content-words,entailment,0.97,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",contradiction,True
56,345.0,A270HX8LH9LJ8W,Uncertain-Same,22136.0,The entrance is at the end of David Street and up.,1.0,1.0,2.0,content-words,entailment,0.97,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",contradiction,True
272,30.0,A2615YW1YERQBO,Uncertain-Flip,12368.0,I was not trying to offend you by saying you're old.,0.0,2.0,3.0,gradient,neutral,1.0,4377.0,Don't be offended because I think you're young.,contradiction,True
272,30.0,A2615YW1YERQBO,Uncertain-Flip,12369.0,I don't want to offend you by saying you're old.,0.0,2.0,3.0,gradient,entailment,1.0,4377.0,Don't be offended because I think you're young.,contradiction,True
