,flip-class,premID,premise,hypoID,hypothesis,orig-hypothesis,lab_count,maj_count,mask-type,model-label,response,model-wrong,orig-label
0,Uncertain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",48.0,Would the job pay more if it were not held by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
1,Uncertain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",51.0,Would the job pay less if it were done by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
2,Uncertain-Same,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",52.0,Would the job be better if it were not held by Tripp?,Would the job pay less if it were not held by Tripp?,1.0,3.0,data-slices,entailment,neutral,True,entailment
3,Certain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",53.0,Would the job pay less if it were only held by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
4,Uncertain-Flip,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2269.0,The Malla period saw advancements in either the arts or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,neutral,entailment,True,contradiction
5,Uncertain-Same,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2278.0,The Malla period also saw no advancements in either the arts or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,contradiction,contradiction,False,contradiction
6,Uncertain-Same,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2279.0,The Malla period saw no advancements in either the economy or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,contradiction,neutral,True,contradiction
7,Certain-Same,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2281.0,The Malla period saw no advancements in either arts or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,contradiction,contradiction,False,contradiction
8,Certain-Flip,479.0,"Public courses are very popular, so book in advance.",2655.0,"Public courses aren't very expensive, so it's easy to sign up for one.",Public courses aren't popular so it's easy to sign up for one.,1.0,3.0,content-words,neutral,neutral,False,contradiction
9,Uncertain-Same,479.0,"Public courses are very popular, so book in advance.",2656.0,Private courses aren't popular so it's easy to sign up for one.,Public courses aren't popular so it's easy to sign up for one.,2.0,3.0,content-words,contradiction,neutral,True,contradiction
10,Uncertain-Flip,479.0,"Public courses are very popular, so book in advance.",2660.0,"Public courses are very popular, so it's easy to sign up for one.",Public courses aren't popular so it's easy to sign up for one.,2.0,3.0,content-words,neutral,contradiction,True,contradiction
11,Uncertain-Flip,479.0,"Public courses are very popular, so book in advance.",2662.0,"Public courses are free, so it's easy to sign up for one.",Public courses aren't popular so it's easy to sign up for one.,1.0,3.0,content-words,neutral,neutral,False,contradiction
12,Uncertain-Same,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1801.0,I took two courses on how I can become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,2.0,3.0,gradient,neutral,contradiction,True,neutral
13,Uncertain-Same,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1802.0,I took two courses to become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,2.0,3.0,gradient,neutral,contradiction,True,neutral
